"school_amcha","school_hillel"
"University of South Florida","University of Florida"
"University of Georgia","University of Florida"
"Rutgers University - New Brunswick","Rutgers University, New Brunswick"
"University of Central Florida","University of Central Florida"
"University of Michigan - Flint","University of Michigan"
"University of Wisconsin, Madison","University of Wisconsin, Madison"
"CUNY Brooklyn College","CUNY, Brooklyn College"
"University of Illinois Urbana Champaign","University of Illinois at Urbana-Champaign"
"Florida State University","Florida State University"
"Michigan State University","Michigan State University"
"Florida International University","Florida International University"
"Arizona State University","Arizona State University"
"University of Arizona","University of Arizona"
"Webster University","Western University"
"University of California Santa Barbara","University of California, Santa Barbara"
"Ohio State University","Ohio State University"
"University of Texas Austin","University of Texas, Austin"
"University of Akron","University of Vermont"
"University of Oregon","University of Vermont"
"University of Colorado Boulder","University of Colorado at Boulder"
"University of California Davis","University of California, Davis"
"University of California Irvine","University of California, Davis"
"University of California Hastings","University of California, Davis"
"University of California Berkeley","University of California, Berkeley"
"University of California Merced","University of California, Berkeley"
"University of California Los Angeles","University of California, Los Angeles"
"University of Delaware","University of Delaware"
"Towson University","Towson University"
"University of Connecticut","University of Connecticut"
"University of Massachusetts Amherst","University of Massachusetts, Amherst"
"University of Massachusetts Boston","University of Massachusetts, Amherst"
"University of Vermont","University of Oregon"
"University of Pittsburgh","University of Pittsburgh"
"CUNY Baruch College","CUNY, Baruch College"
"Florida Atlantic University","Florida Atlantic University"
"University of Washington","University of Washington"
"University of Mary Washington","University of Washington"
"University of Montana","University of Minnesota"
"University of Kansas","University of Kansas"
"CUNY College of Staten Island","CUNY, College of Staten Island"
"University of California Santa Cruz","University of California, Santa Cruz"
"James Madison University","James Madison University"
"California Polytechnic State University, SLO","California Polytechnic State University, San Luis Obispo"
"University of North Florida","University of South Florida"
"University of South Carolina","University of South Florida"
"University of Maryland Baltimore County","University of Maryland, Baltimore County"
"Boston University","Boston University"
"New York University","New York University"
"Tulane University","Tulane University"
"George Washington University","George Washington University"
"Yeshiva University","Yeshiva University"
"Cornell University","Cornell University"
"Syracuse University","Syracuse University"
"Washington University St. Louis","Washington University in St. Louis"
"University of Michigan","University of Miami"
"University of Maine","University of Miami"
"University of Miami","University of Miami"
"University of Southern California","University of Southern California"
"University of Pennsylvania","University of Pennsylvania"
"American University","American University"
"Brown University","Brown University"
"Northwestern University","Northeastern University"
"Northeastern University","Northeastern University"
"Brandeis University","Brandeis University"
"Emory University","Emory University"
"Ithaca College","Ithaca College"
"Tufts University","Tufts University"
"Vanderbilt University","Vanderbilt University"
"Lehigh University","Lehigh University"
"Drexel University","Drexel University"
"Bard College","Barnard College"
"Hofstra University","Hofstra University"
"Duke University","Duke University"
"Drake University","Duke University"
"Yale University","Yale University"
"University of Chicago","University of Chicago"
"Harvard University","Harvard University"
"Oberlin College","Oberlin College"
"University of Rochester","University of Rochester"
"Case Western Reserve University","Case Western Reserve University"
"Clark University","Clark University"
"Chapman University","Chapman University"
"Stanford University","Stanford University"
"DePaul University","DePaul University"
"DePauw University","DePaul University"
"Skidmore College","Skidmore College"
"Princeton University","Princeton University"
"Pace University","Pace University"
"The New School","The New School"
"Sarah Lawrence College","Sarah Lawrence College"
"Muhlenberg College","Muhlenberg College"
"Johns Hopkins University","Johns Hopkins University"
"University of Denver","University of Denver"
"Georgetown University","Georgetown University"
"Vassar College","Vassar College"
"Emerson College","Emerson College"
"Bentley University","Bentley University"
"Dartmouth College","Dartmouth College"
"Carnegie Mellon University","Carnegie Mellon University"
"Boston College","Boston College"
"Fordham University","Fordham University"
"Goucher College","Goucher College"
"Kenyon College","Kenyon College"
"Bryn Mawr College","Bryn Mawr College"
"Franklin and Marshall College","Franklin & Marshall College"
