"student_type","school","jewish_students_n","jewish_students_perc","total_students_n","jewish_students_perc_real"
"Undergraduate","University of Florida",6500,0.191,34045,0.190923777353503
"Graduate","University of Florida",2900,0.139,20900,0.138755980861244
"Total","University of Florida",9400,0.171,54945,0.171080171080171
"Undergraduate","Rutgers University, New Brunswick",6400,0.179,35827,0.178636224076814
"Graduate","Rutgers University, New Brunswick",1000,0.068,14652,0.0682500682500683
"Total","Rutgers University, New Brunswick",7400,0.147,50479,0.14659561401771
"Undergraduate","University of Central Florida",6300,0.105,59758,0.10542521503397
"Graduate","University of Central Florida",1500,0.145,10331,0.145194076081696
"Total","University of Central Florida",7800,0.111,70089,0.111287077858152
"Undergraduate","University of Maryland, College Park",5800,0.191,30368,0.190990516332982
"Graduate","University of Maryland, College Park",800,0.077,10350,0.0772946859903382
"Total","University of Maryland, College Park",6600,0.162,40718,0.162090475956579
"Undergraduate","University of Michigan",5000,0.156,32063,0.155942987243864
"Graduate","University of Michigan",1500,0.083,17996,0.0833518559679929
"Total","University of Michigan",6500,0.13,50059,0.129846780798658
"Undergraduate","University of Wisconsin, Madison",4000,0.119,33506,0.119381603294932
"Graduate","University of Wisconsin, Madison",1000,0.08,12458,0.0802697062128753
"Total","University of Wisconsin, Madison",5000,0.109,45964,0.108780784962144
"Undergraduate","CUNY, Brooklyn College",4000,0.285,14054,0.284616479294151
"Graduate","CUNY, Brooklyn College",500,0.181,2766,0.180766449746927
"Total","CUNY, Brooklyn College",4500,0.268,16820,0.267538644470868
"Undergraduate","Queens College",4000,0.269,14859,0.26919711959082
"Graduate","Queens College",150,0.052,2889,0.0519210799584631
"Total","Queens College",4150,0.234,17748,0.233829163849448
"Undergraduate","Indiana University",4500,0.132,33995,0.132372407707016
"Graduate","Indiana University",500,0.045,11075,0.0451467268623025
"Total","Indiana University",5000,0.111,45070,0.110938540048813
"Undergraduate","Pennsylvania State University, University Park",4000,0.099,40286,0.0992900759569081
"Graduate","Pennsylvania State University, University Park",1000,0.144,6960,0.14367816091954
"Total","Pennsylvania State University, University Park",5000,0.106,47246,0.105829064894383
"Undergraduate","Binghamton University",3700,0.259,14303,0.25868698874362
"Graduate","Binghamton University",250,0.067,3748,0.0667022411953042
"Total","Binghamton University",3950,0.219,18051,0.218824441859177
"Undergraduate","McGill University",3500,0.131,26765,0.130767793760508
"Graduate","McGill University",500,0.048,10411,0.0480261262126597
"Total","McGill University",4000,0.108,37176,0.107596298687325
"Undergraduate","University of Illinois at Urbana-Champaign",3500,0.106,33001,0.106057392200236
"Graduate","University of Illinois at Urbana-Champaign",1000,0.053,18996,0.0526426616129712
"Total","University of Illinois at Urbana-Champaign",4500,0.087,51997,0.0865434544300633
"Undergraduate","Florida State University",3500,0.105,33368,0.104890913450012
"Graduate","Florida State University",800,0.069,11537,0.0693421166681113
"Total","Florida State University",4300,0.096,44905,0.0957577107226367
"Undergraduate","California State University, Northridge",3500,0.102,34275,0.102115244347192
"Graduate","California State University, Northridge",650,0.152,4269,0.152260482548606
"Total","California State University, Northridge",4150,0.108,38544,0.107669157326692
"Undergraduate","Michigan State University",3500,0.091,38424,0.0910889027691026
"Graduate","Michigan State University",500,0.045,11085,0.04510599909788
"Total","Michigan State University",4000,0.081,49509,0.080793391100608
"Undergraduate","Florida International University",3500,0.088,39947,0.0876160913210003
"Graduate","Florida International University",160,0.015,10653,0.0150192434056134
"Total","Florida International University",3660,0.072,50600,0.0723320158102767
"Undergraduate","York University",3500,0.071,49500,0.0707070707070707
"Graduate","York University",500,0.082,6100,0.0819672131147541
"Total","York University",4000,0.072,55600,0.0719424460431655
"Undergraduate","Arizona State University",3500,0.056,62216,0.0562556255625563
"Graduate","Arizona State University",340,0.026,13165,0.0258260539308773
"Total","Arizona State University",3840,0.051,75381,0.0509412186094639
"Undergraduate","University of Arizona",3500,0.094,37241,0.0939824387100239
"Graduate","University of Arizona",500,0.046,10943,0.0456913095129306
"Total","University of Arizona",4000,0.083,48184,0.0830151087497925
"Undergraduate","Western University",3000,0.12,25100,0.119521912350598
"Graduate","Western University",250,0.037,6700,0.0373134328358209
"Total","Western University",3250,0.102,31800,0.102201257861635
"Undergraduate","University of California, Santa Barbara",3000,0.13,23091,0.12992074834351
"Graduate","University of California, Santa Barbara",450,0.148,3033,0.148367952522255
"Total","University of California, Santa Barbara",3450,0.132,26124,0.132062471290767
"Undergraduate","Ohio State University",2777,0.06,45986,0.0603879441569173
"Graduate","Ohio State University",350,0.024,14571,0.0240203143229703
"Total","Ohio State University",3127,0.052,60557,0.0516373003946695
"Undergraduate","University of Texas, Austin",2750,0.068,40506,0.06789117661581
"Graduate","University of Texas, Austin",750,0.068,11075,0.0677200902934537
"Total","University of Texas, Austin",3500,0.068,51581,0.0678544425272872
"Undergraduate","University of Vermont",2500,0.226,11081,0.225611406912734
"Graduate","University of Vermont",500,0.227,2200,0.227272727272727
"Total","University of Vermont",3000,0.226,13281,0.225886604924328
"Undergraduate","University of Colorado at Boulder",2500,0.106,23691,0.105525304968131
"Graduate","University of Colorado at Boulder",350,0.05,7020,0.0498575498575499
"Total","University of Colorado at Boulder",2850,0.093,30711,0.0928006251831591
"Undergraduate","University of California, Davis",2500,0.08,31162,0.0802259161799628
"Graduate","University of California, Davis",850,0,0,Inf
"Total","University of California, Davis",3350,0.108,31162,0.10750272768115
"Undergraduate","University of California, Berkeley",2500,0.079,31811,0.0785891672691836
"Graduate","University of California, Berkeley",500,0.038,13120,0.038109756097561
"Total","University of California, Berkeley",3000,0.067,44931,0.0667690458703345
"Undergraduate","University of California, Los Angeles",2500,0.078,32118,0.0778379724764929
"Graduate","University of California, Los Angeles",500,0.033,15264,0.0327568134171908
"Total","University of California, Los Angeles",3000,0.063,47382,0.0633151829808788
"Undergraduate","University of Delaware",2350,0.13,18135,0.129583677970775
"Graduate","University of Delaware",500,0.121,4130,0.121065375302663
"Total","University of Delaware",2850,0.128,22265,0.128003593083315
"Undergraduate","Queensborough Community College",2000,0.206,9733,0.205486489263331
"Graduate","Queensborough Community College",0,0,0,NA
"Total","Queensborough Community College",2000,0.205,9733,0.205486489263331
"Undergraduate","Towson University",2000,0.112,17817,0.112252343267666
"Graduate","Towson University",300,0.102,2949,0.101729399796541
"Total","Towson University",2300,0.111,20766,0.110757969758259
"Undergraduate","University of Connecticut",2000,0.107,18658,0.10719262514739
"Graduate","University of Connecticut",450,0.017,27215,0.0165349990813889
"Total","University of Connecticut",2450,0.053,45873,0.0534083229786585
"Undergraduate","Los Angeles Pierce College, Woodland Hills",2000,0.095,20977,0.0953425179959003
"Graduate","Los Angeles Pierce College, Woodland Hills",0,0,0,NA
"Total","Los Angeles Pierce College, Woodland Hills",2000,0.095,20977,0.0953425179959003
"Undergraduate","University of Massachusetts, Amherst",2300,0.096,23947,0.0960454336660124
"Graduate","University of Massachusetts, Amherst",500,0.064,7814,0.0639877143588431
"Total","University of Massachusetts, Amherst",2800,0.088,31761,0.0881584332986997
"Undergraduate","Virginia Tech",2500,0.084,29750,0.0840336134453782
"Graduate","Virginia Tech",250,0.033,7519,0.0332491022742386
"Total","Virginia Tech",2750,0.074,37269,0.0737878665915372
"Undergraduate","University of Oregon",2000,0.108,18489,0.108172426848396
"Graduate","University of Oregon",400,0.109,3655,0.109439124487004
"Total","University of Oregon",2400,0.108,22144,0.108381502890173
"Undergraduate","University of Pittsburgh",1600,0.081,19827,0.0806980380289504
"Graduate","University of Pittsburgh",500,0.054,9258,0.0540073449989199
"Total","University of Pittsburgh",2100,0.072,29085,0.0722021660649819
"Undergraduate","University at Albany",1500,0.12,12556,0.119464797706276
"Graduate","University at Albany",1000,0.226,4421,0.226193168966297
"Total","University at Albany",2500,0.147,16977,0.147258055015609
"Undergraduate","CUNY, Baruch College",1500,0.097,15483,0.0968804495252858
"Graduate","CUNY, Baruch College",400,0.097,4110,0.097323600973236
"Total","CUNY, Baruch College",1900,0.097,19593,0.096973408870515
"Undergraduate","Hunter College",1500,0.083,18136,0.0827084252315836
"Graduate","Hunter College",1000,0.164,6116,0.163505559189012
"Total","Hunter College",2500,0.103,24252,0.103084281708725
